Team,Player,Mouse,DPI,X-Axis Sens,Y-Axis Sens,Targeting Sens,Scope Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
Content Creator,Flikk,Razer Deathadder V3 Pro Black,1600,7.1%,4.1%,28.0%,28.0%,ZOWIE XL2566K,1920x1080,Artisan Hayate Otsu XSoft,Razer Huntsman V3 Pro TKL,HyperX Cloud II
Content Creator,Nick Eh 30,Razer Viper Mini,2000,10.0%,5.0%,30.0%,50.0%,Alienware AW2720HF,1920x1080,Custom Mousepad,Razer Huntsman TE,beyerdynamic DT 770 Pro
Content Creator,AyarBaffo,,,,,,,Acer Predator X25,1920x1080,,,
Content Creator,MOTOR,Logitech G Pro Wireless,800,8.0%,8.0%,100.0%,100.0%,ASUS VG248QE,1920x1080,,SteelSeries Apex Pro Mini Black,HyperX Cloud II
Content Creator,HaloBT,Logitech G502 HERO,200,23.8%,23.8%,38.3%,47.2%,ViewSonic XG2560,1920x1080,,Razer Huntsman V2,beyerdynamic DT 990 Pro
Content Creator,itsJerian,Logitech G Pro X Superlight Magenta,800,6.2%,6.2%,35.0%,32.5%,Alienware AW2521H,1920x1080,The Mousepad Company Strata Liquid 03,Wooting 60 HE,HyperX Cloud Alpha
Content Creator,FadedPigeon47,Razer Viper V2 Pro Black,800,6.0%,6.0%,50.0%,50.0%,ASUS TUF VG279QM,1920x1080,,SteelSeries Apex Pro TKL (2023),HyperX Cloud Alpha
Content Creator,Ceice,Razer Deathadder V2 Pro,400,13.0%,13.0%,38.0%,38.0%,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Mid,SteelSeries Apex Pro TKL,Sennheiser GAME ONE
Content Creator,Jacob,SteelSeries Aerox 5 Wireless,800,8.7%,8.7%,52.5%,52.5%,ASUS ROG SWIFT PG259QN,1920x1080,SteelSeries QcK+,SteelSeries Apex Pro TKL Wireless (2023),SteelSeries Arctis Nova Pro Wireless
Content Creator,SypherPK,Roccat Kone Pro Air,400,12.5%,12.5%,40.0%,40.0%,Alienware AW2518H,1920x1080,ROCCAT Taito Control,ROCCAT Vulcan TKL Pro,JBL Quantum One
Content Creator,cxltures,Xtrfy M42,800,9.2%,7.7%,35.0%,35.0%,ASUS TUF VG279QM,1920x1080,,SteelSeries Apex Pro Mini Black,
Content Creator,Typical Gamer,Logitech G Pro X Superlight Black,800,7.0%,7.0%,40.0%,40.0%,Alienware AW2518H,1920x1080,Razer Gigantus V2,SteelSeries Apex Pro,beyerdynamic DT 1990 PRO
Content Creator,Kreo,Razer Viper Ultimate,800,7.5%,7.5%,60.4%,74.7%,ASUS ROG SWIFT PG258Q,1920x1080,Inked Gaming Custom Mousepad,HK Gaming GK61,Logitech G Pro X Headset
Content Creator,McCreamy,Razer DeathAdder Elite,400,13.0%,13.0%,45.0%,45.0%,ZOWIE XL2540,1920x1080,Logitech G640 Original,Corsair STRAFE,Logitech G933
Content Creator,moneymaker,,,,,,,,,,,HyperX Cloud II
Content Creator,KenBeans,Logitech G Pro X Superlight Black,1600,3.5%,3.5%,40%,40%,Alienware AW2521HF,1920x1080,4114 Fragment Aero,Wooting 60 HE,Sennheiser HD 599
Content Creator,Mongraal,Logitech G402,800,11.0%,11.0%,33.3%,33.3%,LG UltraGear 32GQ850-B,1920x1080,Inked Gaming Custom Mousepad,SteelSeries Apex Pro Mini Black,HyperX Cloud II Wireless
Content Creator,premfn,Logitech G Pro X Superlight Black,,8.0%,8.0%,48.7%,48.1%,,1920x1080,,Razer Huntsman V3 Pro Mini,
Solary,artskill,Razer Viper Mini Signature Edition,1600,3.5%,3.5%,40.0%,40.0%,ASUS ROG SWIFT PG259QN,1920x1080,Artisan FX Hien Soft,Wooting 60 HE,beyerdynamic DT 990 Pro
Retired,Riversan,Logitech G Pro Wireless,800,6.5%,6.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,Inked Gaming Custom Mousepad,SteelSeries Apex Pro TKL,Logitech G Pro X Headset
Agent Gaming,Bucke,Logitech G Pro Gaming Mouse,400,12.0%,12.0%,50.0%,50.0%,ASUS ROG SWIFT PG258Q,1920x1080,Glorious 3XL,Anne Pro 2,HyperX Cloud II
Agent Gaming,Reet,Logitech G Pro Wireless,800,6.4%,6.4%,58.9%,58.9%,Alienware AW2518H,1920x1080,The Mousepad Company Ichiba,Logitech G Pro Keyboard,HyperX Cloud II
Agent Gaming,Peterbot,Logitech G Pro X Superlight 2 White,800,6.4%,6.4%,45.0%,45.0%,ZOWIE XL2566K,1720x1080,GameSense Radar Benjyfishy,SteelSeries Apex Pro TKL,HyperX Cloud II
PSG TNA,OliverOG,Logitech G Pro X Superlight Black,800,6.0%,6.0%,60.0%,60.0%,ASUS TUF VG259QM,1920x1080,The Mousepad Company Ichiba,SteelSeries Apex Pro Mini Black,beyerdynamic DT 990 Pro
EvozA Esport,Shamokiy,Logitech G Pro X Superlight Black,1600,3.5%,4.5%,80%,25%,Alienware AW2523HF,1920x1080,Razer Strider,Wooting 60 HE,Razer BlackShark V2 HyperSpeed
Manchester City Esports,Setty,Finalmouse Ultralight X Medium,800,8.0%,8.0%,45.0%,45.0%,ZOWIE XL2566K,1920x1080,Custom Mousepad,Razer Huntsman V3 Pro Mini,Sennheiser HD 660S
LND Esports,Vanyak3kk,Logitech G Pro X Superlight 2 Black,800,7.1%,7.1%,30.0%,30.0%,ZOWIE XL2546,1920x1080,Razer Gigantus V2,SteelSeries Apex Pro TKL (2023),Razer BlackShark V2 Pro White
AnC Outplayed,Robban,Razer Deathadder V3 Pro Black,1600,3.0%,3.0%,28.0%,28.0%,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro,Logitech G Pro X Headset
